# Time-averaged data for fix rdfout
# TimeStep Number-of-rows
# Row c_myrdf[1] c_myrdf[2] c_myrdf[3]
51000 200
184 11.01 0.97236 293.715
185 11.07 0.986478 298.465
186 11.13 0.963668 303.156
187 11.19 0.964174 307.9
188 11.25 0.967027 312.709
189 11.31 0.974182 317.606
190 11.37 0.972668 322.547
191 11.43 0.978417 327.57
192 11.49 0.972004 332.612
193 11.55 0.974217 337.719
194 11.61 0.974746 342.882
195 11.67 0.977718 348.114
196 11.73 0.992599 353.481
197 11.79 0.990651 358.892
198 11.85 1.0021 364.421
199 11.91 0.999818 369.994
200 11.97 1.00811 375.67
54000 200
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 0 0
24 1.41 0 0
25 1.47 0 0
26 1.53 0 0
27 1.59 0 0
28 1.65 0 0
29 1.71 0 0
30 1.77 0 0
31 1.83 0 0
32 1.89 0 0
33 1.95 0 0
34 2.01 0 0
35 2.07 0 0
36 2.13 0 0
37 2.19 0 0
38 2.25 0 0
39 2.31 0.00667654 0.0014
40 2.37 0.0371506 0.0096
41 2.43 0.2422 0.0658
42 2.49 0.707602 0.2382
43 2.55 1.44175 0.6066
44 2.61 2.10843 1.171
45 2.67 2.65657 1.9152
46 2.73 2.81697 2.7402
47 2.79 2.91485 3.6318
48 2.85 2.73452 4.5046
49 2.91 2.46966 5.3264
50 2.97 2.15855 6.0746
51 3.03 1.97523 6.7872
52 3.09 1.66473 7.4118
53 3.15 1.51061 8.0008
54 3.21 1.30698 8.53
55 3.27 1.14332 9.0104
56 3.33 0.995086 9.444
57 3.39 0.916772 9.858
58 3.45 0.824869 10.2438
59 3.51 0.780385 10.6216
60 3.57 0.682891 10.9636
61 3.63 0.678657 11.315
62 3.69 0.607425 11.64
63 3.75 0.583076 11.9622
64 3.81 0.581687 12.294
65 3.87 0.565829 12.627
66 3.93 0.590865 12.9856
67 3.99 0.579303 13.348
68 4.05 0.584298 13.7246
69 4.11 0.595083 14.1196
70 4.17 0.617304 14.5414
71 4.23 0.658229 15.0042
72 4.29 0.680876 15.4966
73 4.35 0.730275 16.0396
74 4.41 0.75974 16.6202
75 4.47 0.790682 17.241
76 4.53 0.856437 17.9316
77 4.59 0.9144 18.6886
78 4.65 0.974754 19.5168
79 4.71 0.999635 20.3882
80 4.77 1.05428 21.3308
81 4.83 1.10854 22.347
82 4.89 1.15494 23.4322
83 4.95 1.18299 24.5712
84 5.01 1.23715 25.7914
85 5.07 1.24507 27.049
86 5.13 1.243 28.3344
87 5.19 1.29927 29.7096
88 5.25 1.27768 31.0934
89 5.31 1.30727 32.5418
90 5.37 1.30293 34.0182
91 5.43 1.22666 35.4394
92 5.49 1.24795 36.9174
93 5.55 1.2031 38.3736
94 5.61 1.1885 39.8434
95 5.67 1.14401 41.2886
96 5.73 1.09165 42.697
97 5.79 1.05685 44.0892
98 5.85 0.996463 45.4292
99 5.91 0.960303 46.7472
100 5.97 0.95038 48.0782
101 6.03 0.907345 49.3746
102 6.09 0.878164 50.6544
103 6.15 0.855596 51.926
104 6.21 0.842706 53.203
105 6.27 0.834294 54.4918
106 6.33 0.814996 55.775
107 6.39 0.814472 57.0818
108 6.45 0.809421 58.405
109 6.51 0.838166 59.8008
110 6.57 0.848986 61.2408
111 6.63 0.8719 62.7468
112 6.69 0.862131 64.263
113 6.75 0.887199 65.8514
114 6.81 0.915864 67.5204
115 6.87 0.922044 69.2304
116 6.93 0.961258 71.0444
117 6.99 0.975348 72.917
118 7.05 0.983907 74.8386
119 7.11 1.01469 76.8542
120 7.17 1.06233 79.0002
121 7.23 1.05237 81.1618
122 7.29 1.08808 83.434
123 7.35 1.11156 85.7936
124 7.41 1.08177 88.1276
125 7.47 1.09036 90.5184
126 7.53 1.10142 92.9724
127 7.59 1.12463 95.5182
128 7.65 1.08471 98.0126
129 7.71 1.11867 100.626
130 7.77 1.07625 103.179
131 7.83 1.10108 105.831
132 7.89 1.08194 108.478
133 7.95 1.05625 111.101
134 8.01 1.06754 113.793
135 8.07 1.0568 116.497
136 8.13 1.02532 119.16
137 8.19 1.02166 121.853
138 8.25 1.01313 124.562
139 8.31 0.976004 127.211
140 8.37 0.986254 129.926
141 8.43 0.981862 132.668
142 8.49 0.952357 135.365
143 8.55 0.955609 138.11
144 8.61 0.94474 140.862
145 8.67 0.922094 143.586
146 8.73 0.916809 146.331
147 8.79 0.938261 149.18
148 8.85 0.942998 152.082
149 8.91 0.925084 154.968
150 8.97 0.937546 157.932
151 9.03 0.94966 160.975
152 9.09 0.948068 164.053
153 9.15 0.950873 167.181
154 9.21 0.958266 170.375
155 9.27 0.974805 173.667
156 9.33 0.975171 177.002
157 9.39 0.986301 180.42
158 9.45 0.991086 183.897
159 9.51 1.00428 187.466
160 9.57 1.00357 191.078
161 9.63 1.03062 194.834
162 9.69 1.03914 198.668
163 9.75 1.02971 202.514
164 9.81 1.04455 206.464
165 9.87 1.03393 210.422
166 9.93 1.05631 214.515
167 9.99 1.04239 218.602
168 10.05 1.05225 222.779
169 10.11 1.05399 227.012
170 10.17 1.04922 231.276
171 10.23 1.02625 235.496
172 10.29 1.04873 239.86
173 10.35 1.03157 244.202
174 10.41 1.0253 248.568
175 10.47 1.02515 252.984
176 10.53 1.01368 257.4
177 10.59 1.00731 261.839
178 10.65 0.996263 266.279
179 10.71 1.0027 270.799
180 10.77 0.975239 275.244
181 10.83 0.98373 279.778
182 10.89 0.983221 284.359
183 10.95 0.99162 289.031
184 11.01 0.976643 293.683
185 11.07 0.964589 298.328
186 11.13 0.98039 303.1
187 11.19 0.972832 307.887
188 11.25 0.978006 312.751
189 11.31 0.972949 317.641
190 11.37 0.977314 322.606
191 11.43 0.970743 327.589
192 11.49 0.982452 332.686
193 11.55 0.977231 337.808
194 11.61 0.984828 343.025
195 11.67 0.976858 348.252
