# Time-averaged data for fix rdf2_out
# TimeStep Number-of-rows
# Row c_rdf2[1] c_rdf2[2] c_rdf2[3]
240000 100
39 3.08 1.55125 6.74774
40 3.16 1.37108 7.44894
41 3.24 1.19906 8.09361
42 3.32 1.06613 8.69546
43 3.4 0.941733 9.25302
44 3.48 0.87475 9.79557
45 3.56 0.851485 10.3483
46 3.64 0.79976 10.891
47 3.72 0.766674 11.4343
48 3.8 0.735009 11.9779
49 3.88 0.732514 12.5427
50 3.96 0.734507 13.1326
51 4.04 0.750457 13.7599
52 4.12 0.759216 14.4199
53 4.2 0.770951 15.1164
54 4.28 0.789142 15.8568
55 4.36 0.810095 16.6455
56 4.44 0.834083 17.4876
57 4.52 0.859207 18.3866
58 4.6 0.884999 19.3457
59 4.68 0.915574 20.3727
60 4.76 0.949483 21.4745
61 4.84 0.97877 22.6487
62 4.92 1.00707 23.8972
63 5 1.04032 25.2292
64 5.08 1.07833 26.6544
65 5.16 1.10101 28.1557
66 5.24 1.12831 29.7424
67 5.32 1.14734 31.4054
68 5.4 1.14905 33.1214
69 5.48 1.148 34.887
70 5.56 1.1388 36.69
71 5.64 1.12575 38.524
72 5.72 1.10818 40.3809
73 5.8 1.08624 42.2523
74 5.88 1.06475 44.1376
75 5.96 1.04521 46.0391
76 6.04 1.02411 47.9525
77 6.12 1.0055 49.8812
78 6.2 0.996304 51.8426
79 6.28 0.984211 53.8305
80 6.36 0.971523 55.8431
81 6.44 0.964485 57.8917
82 6.52 0.945922 59.9511
83 6.6 0.932343 62.0311
84 6.68 0.924643 64.1441
85 6.76 0.930701 66.3223
86 6.84 0.929106 68.5485
87 6.92 0.923424 70.8131
88 7 0.930199 73.1475
89 7.08 0.929812 75.5344
90 7.16 0.937963 77.9971
91 7.24 0.951772 80.5521
92 7.32 0.964143 83.1979
93 7.4 0.975811 85.9345
94 7.48 0.984636 88.7559
95 7.56 0.996244 91.672
96 7.64 1.01475 94.7054
97 7.72 1.0243 97.8318
98 7.8 1.039 101.069
99 7.88 1.04824 104.403
100 7.96 1.06192 107.849
240800 100
1 0.04 0 0
2 0.12 0 0
3 0.2 0 0
4 0.28 0 0
5 0.36 0 0
6 0.44 0 0
7 0.52 0 0
8 0.6 0 0
9 0.68 0 0
10 0.76 0 0
11 0.84 0 0
12 0.92 0 0
13 1 0 0
14 1.08 0 0
15 1.16 0 0
16 1.24 0 0
17 1.32 0 0
18 1.4 0 0
19 1.48 0 0
20 1.56 0 0
21 1.64 0 0
22 1.72 0 0
23 1.8 0 0
24 1.88 0 0
25 1.96 0 0
26 2.04 0 0
27 2.12 0.000563117 0.00012963
28 2.2 0.00732077 0.00194444
29 2.28 0.0418703 0.0130926
30 2.36 0.146647 0.0549259
31 2.44 0.447278 0.191315
32 2.52 1.17886 0.574741
33 2.6 2.13667 1.31452
34 2.68 2.43625 2.21072
35 2.76 2.59231 3.22211
36 2.84 2.41924 4.22148
37 2.92 2.12091 5.14767
38 3 1.82981 5.99111
39 3.08 1.55994 6.74902
40 3.16 1.36721 7.44824
41 3.24 1.20588 8.09657
42 3.32 1.06537 8.698
43 3.4 0.942171 9.25581
44 3.48 0.886902 9.80591
45 3.56 0.835451 10.3482
46 3.64 0.803063 10.8931
47 3.72 0.765577 11.4357
48 3.8 0.736437 11.9804
49 3.88 0.730617 12.5437
50 3.96 0.742093 13.1397
51 4.04 0.751587 13.7679
52 4.12 0.754104 14.4235
53 4.2 0.772652 15.1215
54 4.28 0.78857 15.8614
55 4.36 0.801003 16.6412
56 4.44 0.830286 17.4795
57 4.52 0.856021 18.3751
58 4.6 0.885751 19.335
59 4.68 0.915343 20.3618
