# Time-averaged data for fix rdfout
# TimeStep Number-of-rows
# Row c_myrdf[1] c_myrdf[2] c_myrdf[3] c_myrdf[4] c_myrdf[5] c_myrdf[6] c_myrdf[7]
20000 200
92 5.49 1.31715 18.4628 1.2989 18.5164 1.29832 18.5722
93 5.55 1.2101 19.1944 1.24649 19.27 1.27107 19.3422
94 5.61 1.17593 19.9208 1.20507 20.0144 1.20783 20.0898
95 5.67 1.16703 20.6572 1.18541 20.7624 1.19095 20.8428
96 5.73 1.13092 21.386 1.15513 21.5068 1.10636 21.5572
97 5.79 1.09423 22.106 1.11003 22.2372 1.07536 22.2662
98 5.85 1.02128 22.792 1.00342 22.9112 1.01864 22.9518
99 5.91 0.994815 23.474 0.976728 23.5808 0.982053 23.6264
100 5.97 0.948045 24.1372 0.923458 24.2268 0.950429 24.2926
101 6.03 0.897325 24.7776 0.897325 24.8672 0.910913 24.944
102 6.09 0.914898 25.4436 0.857202 25.4912 0.869197 25.578
103 6.15 0.857261 26.08 0.834631 26.1108 0.82866 26.1944
104 6.21 0.849231 26.7228 0.845004 26.7504 0.817998 26.8148
105 6.27 0.804544 27.3436 0.770331 27.3448 0.794916 27.4294
106 6.33 0.76902 27.9484 0.7619 27.944 0.786771 28.0494
107 6.39 0.792079 28.5832 0.774611 28.5648 0.78128 28.6768
108 6.45 0.788679 29.2272 0.767125 29.1912 0.798101 29.3298
109 6.51 0.780459 29.8764 0.743432 29.8096 0.791136 29.9892
110 6.57 0.781378 30.5384 0.787515 30.4768 0.802196 30.6702
111 6.63 0.814589 31.2412 0.813198 31.1784 0.830079 31.3878
112 6.69 0.794579 31.9392 0.804141 31.8848 0.825936 32.1148
113 6.75 0.826586 32.6784 0.827034 32.6244 0.867341 32.892
114 6.81 0.900852 33.4984 0.878001 33.4236 0.889183 33.703
115 6.87 0.912821 34.344 0.897276 34.2548 0.884923 34.5244
116 6.93 0.935699 35.226 0.952249 35.1524 0.913076 35.3868
117 6.99 0.978933 36.1648 0.950153 36.0636 0.972604 36.3214
118 7.05 1.00703 37.1472 1.00211 37.0412 0.990289 37.2894
119 7.11 1.02841 38.1676 1.02841 38.0616 0.992153 38.2758
120 7.17 1.06201 39.2392 1.09135 39.1628 1.02349 39.3106
121 7.23 1.09943 40.3672 1.06707 40.2576 1.05851 40.3988
122 7.29 1.04689 41.4592 1.09866 41.4036 1.08996 41.538
123 7.35 1.10494 42.6308 1.15323 42.6264 1.09012 42.6962
124 7.41 1.15838 43.8792 1.09343 43.8048 1.10291 43.8872
125 7.47 1.10661 45.0912 1.13254 45.0452 1.11697 45.113
126 7.53 1.13937 46.3592 1.16956 46.3468 1.15 46.3954
127 7.59 1.12213 47.628 1.17414 47.6744 1.14266 47.69
128 7.65 1.13873 48.936 1.15753 49.004 1.1573 49.022
129 7.71 1.1437 50.2704 1.14061 50.3348 1.14997 50.3664
130 7.77 1.12408 51.6024 1.14906 51.6964 1.11071 51.6852
131 7.83 1.12287 52.9536 1.10891 53.0308 1.13456 53.0532
132 7.89 1.10324 54.3016 1.08098 54.3516 1.12946 54.436
133 7.95 1.08988 55.6536 1.12664 55.7492 1.084 55.7834
134 8.01 1.03962 56.9628 1.06249 57.0872 1.07146 57.1354
135 8.07 1.05989 58.3176 1.04331 58.4208 1.05028 58.4806
136 8.13 1.05418 59.6852 1.06003 59.796 1.03514 59.8262
137 8.19 1.0078 61.012 1.03149 61.154 1.0311 61.1864
138 8.25 1.02703 62.384 1.03152 62.532 0.990457 62.5122
139 8.31 1.00339 63.744 0.982736 63.864 0.986367 63.8518
140 8.37 0.987024 65.1012 0.970734 65.1988 1.00523 65.2368
141 8.43 0.960406 66.4408 0.930295 66.4964 0.9841 66.6122
142 8.49 0.937266 67.7668 0.952534 67.844 0.922412 67.9198
143 8.55 0.956218 69.1388 0.927225 69.1744 0.934691 69.2636
144 8.61 0.941288 70.5084 0.923419 70.518 0.930214 70.6198
145 8.67 0.890077 71.8216 0.916918 71.8708 0.952423 72.0278
146 8.73 0.922541 73.2016 0.916658 73.242 0.917093 73.4024
147 8.79 0.928189 74.6092 0.910253 74.6224 0.918699 74.7984
148 8.85 0.928917 76.0372 0.888846 75.9888 0.916672 76.2104
149 8.91 0.888724 77.422 0.874861 77.352 0.912309 77.6348
150 8.97 0.923479 78.8804 0.894351 78.7644 0.914301 79.0816
151 9.03 0.887254 80.3004 0.90175 80.2076 0.916908 80.552
152 9.09 0.90641 81.7704 0.916769 81.6944 0.915551 82.0398
153 9.15 0.90795 83.2624 0.917686 83.2024 0.936136 83.5812
154 9.21 0.927151 84.806 0.937723 84.7636 0.940643 85.1504
155 9.27 0.931078 86.3764 0.917086 86.3104 0.961523 86.7754
156 9.33 0.950045 87.9996 0.965028 87.9592 0.970692 88.4372
157 9.39 0.952966 89.6488 0.986943 89.6672 0.988314 90.151
158 9.45 0.976276 91.36 0.993391 91.4084 0.999376 91.9062
159 9.51 0.969629 93.0812 0.975488 93.14 1.00828 93.6996
160 9.57 1.04318 94.9564 1.01358 94.962 1.04676 95.585
161 9.63 1.03725 96.8444 1.04802 96.8696 1.04505 97.491
162 9.69 1.04463 98.7696 1.04615 98.7976 1.04872 99.4276
163 9.75 1.04339 100.716 1.08134 100.815 1.04526 101.382
164 9.81 1.07302 102.743 1.07726 102.85 1.05397 103.377
165 9.87 1.05395 104.758 1.04579 104.85 1.06917 105.425
166 9.93 1.06357 106.817 1.05448 106.89 1.08156 107.522
167 9.99 1.07616 108.925 1.08024 109.006 1.0902 109.662
168 10.05 1.06758 111.041 1.07303 111.134 1.0586 111.765
169 10.11 1.0713 113.19 1.05834 113.257 1.07642 113.929
170 10.17 1.05771 115.338 1.06618 115.421 1.05785 116.081
171 10.23 1.08448 117.565 1.04982 117.578 1.06161 118.266
172 10.29 1.04531 119.738 1.05647 119.773 1.06521 120.484
173 10.35 1.04654 121.938 1.0513 121.984 1.05024 122.696
174 10.41 1.05445 124.181 1.0362 124.188 1.0315 124.895
175 10.47 0.997592 126.327 1.02064 126.384 1.02352 127.101
176 10.53 1.01511 128.536 1.01952 128.602 1.02372 129.334
177 10.59 1.02054 130.783 1.006 130.817 1.02539 131.595
178 10.65 1.03028 133.076 0.995779 133.034 0.979352 133.78
179 10.71 0.972394 135.266 0.985364 135.252 0.982506 135.996
180 10.77 0.993566 137.528 0.975645 137.473 0.995086 138.266
181 10.83 0.959478 139.736 0.965386 139.696 0.964322 140.491
182 10.89 0.965432 141.984 0.9876 141.994 0.962815 142.736
183 10.95 0.963039 144.25 0.950292 144.231 0.972478 145.03
184 11.01 0.945847 146.5 0.946015 146.482 0.96778 147.337
185 11.07 0.953748 148.794 0.950256 148.767 0.9774 149.692
186 11.13 0.96817 151.148 0.963564 151.11 0.965906 152.046
187 11.19 0.973115 153.54 0.937797 153.415 0.948347 154.381
188 11.25 0.946821 155.892 0.952457 155.781 0.967667 156.79
189 11.31 0.955602 158.291 0.947795 158.16 0.943276 159.163
190 11.37 0.960361 160.728 0.957208 160.589 0.982669 161.661
191 11.43 0.947029 163.156 0.960913 163.053 0.968176 164.149
192 11.49 0.983629 165.705 0.964488 165.552 0.965717 166.656
193 11.55 0.955257 168.206 0.971298 168.096 0.963943 169.185
194 11.61 0.954632 170.732 0.977613 170.682 0.97347 171.766
195 11.67 0.967586 173.318 0.969532 173.274 0.978047 174.385
196 11.73 0.989558 175.991 1.00467 175.987 0.985214 177.051
197 11.79 0.999597 178.718 1.02042 178.771 0.985234 179.745
198 11.85 0.99429 181.458 1.01838 181.578 0.993243 182.488
199 11.91 0.988751 184.211 1.00843 184.385 1.00176 185.282
200 11.97 1.01428 187.064 0.994794 187.183 1.02212 188.162
