# Time-averaged data for fix rdfout
# TimeStep Number-of-rows
# Row c_myrdf[1] c_myrdf[2] c_myrdf[3]
51000 200
192 11.49 0.96784 332.638
193 11.55 0.968112 337.713
194 11.61 0.976597 342.886
195 11.67 0.993751 348.204
196 11.73 0.989381 353.553
197 11.79 0.995887 358.993
198 11.85 0.991047 364.461
199 11.91 0.998454 370.026
200 11.97 1.00446 375.681
55000 200
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 0 0
24 1.41 0 0
25 1.47 0 0
26 1.53 0 0
27 1.59 0 0
28 1.65 0 0
29 1.71 0 0
30 1.77 0 0
31 1.83 0 0
32 1.89 0 0
33 1.95 0 0
34 2.01 0 0
35 2.07 0 0
36 2.13 0 0
37 2.19 0 0
38 2.25 0 0
39 2.31 0.00572275 0.0012
40 2.37 0.0498362 0.0122
41 2.43 0.254267 0.0712
42 2.49 0.725662 0.248
43 2.55 1.36505 0.5968
44 2.61 2.14055 1.1698
45 2.67 2.66299 1.9158
46 2.73 2.86 2.7534
47 2.79 2.9142 3.6448
48 2.85 2.70319 4.5076
49 2.91 2.44862 5.3224
50 2.97 2.17759 6.0772
51 3.03 1.96414 6.7858
52 3.09 1.69138 7.4204
53 3.15 1.47368 7.995
54 3.21 1.3055 8.5236
55 3.27 1.13094 8.9988
56 3.33 1.01804 9.4424
57 3.39 0.926073 9.8606
58 3.45 0.818455 10.2434
59 3.51 0.760142 10.6114
60 3.57 0.682891 10.9534
61 3.63 0.679816 11.3054
62 3.69 0.619761 11.637
63 3.75 0.603345 11.9704
64 3.81 0.558195 12.2888
65 3.87 0.553255 12.6144
66 3.93 0.603058 12.9804
67 3.99 0.575147 13.3402
68 4.05 0.591745 13.7216
69 4.11 0.590262 14.1134
70 4.17 0.624328 14.54
71 4.23 0.653109 14.9992
72 4.29 0.678387 15.4898
73 4.35 0.723012 16.0274
74 4.41 0.780677 16.624
75 4.47 0.785588 17.2408
76 4.53 0.856933 17.9318
77 4.59 0.916332 18.6904
78 4.65 0.957335 19.5038
79 4.71 1.02671 20.3988
80 4.77 1.06412 21.3502
81 4.83 1.09938 22.358
82 4.89 1.12918 23.419
83 4.95 1.194 24.5686
84 5.01 1.20856 25.7606
85 5.07 1.23715 27.0102
86 5.13 1.27491 28.3286
87 5.19 1.27924 29.6826
88 5.25 1.28913 31.0788
89 5.31 1.30439 32.524
90 5.37 1.30417 34.0018
91 5.43 1.25583 35.4568
92 5.49 1.239 36.9242
93 5.55 1.20294 38.3802
94 5.61 1.17831 39.8374
95 5.67 1.14243 41.2806
96 5.73 1.0932 42.691
97 5.79 1.05153 44.0762
98 5.85 1.00405 45.4264
99 5.91 0.959429 46.7432
100 5.97 0.931244 48.0474
101 6.03 0.903146 49.3378
102 6.09 0.886947 50.6304
103 6.15 0.865688 51.917
104 6.21 0.842706 53.194
105 6.27 0.827432 54.4722
106 6.33 0.829985 55.779
107 6.39 0.841272 57.1288
108 6.45 0.815416 58.4618
109 6.51 0.825195 59.836
110 6.57 0.855 61.2862
111 6.63 0.842953 62.7422
112 6.69 0.869978 64.2722
113 6.75 0.87681 65.842
114 6.81 0.915535 67.5104
115 6.87 0.935848 69.246
116 6.93 0.938578 71.0172
117 6.99 0.989828 72.9176
118 7.05 0.979196 74.83
119 7.11 1.00905 76.8344
120 7.17 1.03362 78.9224
121 7.23 1.05831 81.0962
122 7.29 1.07678 83.3448
123 7.35 1.10798 85.6968
124 7.41 1.1004 88.071
125 7.47 1.11454 90.5148
126 7.53 1.11749 93.0046
127 7.59 1.10078 95.4964
128 7.65 1.09558 98.0158
129 7.71 1.10873 100.606
130 7.77 1.08653 103.183
131 7.83 1.10158 105.837
132 7.89 1.0947 108.515
133 7.95 1.07711 111.19
134 8.01 1.07182 113.892
135 8.07 1.04359 116.563
136 8.13 1.01978 119.211
137 8.19 1.01741 121.893
138 8.25 0.998702 124.564
139 8.31 0.983595 127.233
140 8.37 0.981168 129.934
141 8.43 0.969185 132.64
142 8.49 0.967327 135.38
143 8.55 0.937924 138.074
144 8.61 0.939659 140.811
145 8.67 0.931574 143.563
146 8.73 0.933438 146.358
147 8.79 0.929566 149.181
148 8.85 0.929221 152.04
149 8.91 0.920019 154.91
