# Time-averaged data for fix rdf3_out
# TimeStep Number-of-rows
# Row c_rdf3[1] c_rdf3[2] c_rdf3[3]
370000 100
86 6.84 0.944874 65.6882
87 6.92 0.948132 67.9122
88 7 0.948079 70.1878
89 7.08 0.950924 72.5227
90 7.16 0.950641 74.91
91 7.24 0.958338 77.3706
92 7.32 0.961656 79.8947
93 7.4 0.971878 82.5016
94 7.48 0.984451 85.1997
95 7.56 0.989894 87.971
96 7.64 0.997181 90.8222
97 7.72 1.00415 93.7537
98 7.8 1.02084 96.796
99 7.88 1.02634 99.9177
100 7.96 1.03385 103.126
370600 100
1 0.04 0 0
2 0.12 0 0
3 0.2 0 0
4 0.28 0 0
5 0.36 0 0
6 0.44 0 0
7 0.52 0 0
8 0.6 0 0
9 0.68 0 0
10 0.76 0 0
11 0.84 0 0
12 0.92 0 0
13 1 0 0
14 1.08 0 0
15 1.16 0 0
16 1.24 0 0
17 1.32 0 0
18 1.4 0 0
19 1.48 0 0
20 1.56 0 0
21 1.64 0 0
22 1.72 0 0
23 1.8 0 0
24 1.88 0 0
25 1.96 0 0
26 2.04 9.08318e-05 1.85185e-05
27 2.12 0.00891531 0.00198148
28 2.2 0.0670894 0.0178889
29 2.28 0.186157 0.0652963
30 2.36 0.402818 0.175204
31 2.44 0.775774 0.401463
32 2.52 1.37222 0.828352
33 2.6 1.9471 1.47315
34 2.68 2.09239 2.20935
35 2.76 2.13494 3.00604
36 2.84 2.06309 3.82119
37 2.92 1.87401 4.60393
38 3 1.66678 5.33878
39 3.08 1.50728 6.03922
40 3.16 1.35527 6.70217
41 3.24 1.24985 7.34489
42 3.32 1.12827 7.95409
43 3.4 1.04209 8.5442
44 3.48 0.972626 9.1212
45 3.56 0.927765 9.69719
46 3.64 0.882897 10.2702
47 3.72 0.854102 10.8492
48 3.8 0.81488 11.4256
49 3.88 0.811909 12.0244
50 3.96 0.80798 12.645
51 4.04 0.794481 13.2802
52 4.12 0.799406 13.9449
53 4.2 0.812234 14.6468
54 4.28 0.814452 15.3776
55 4.36 0.831534 16.1519
56 4.44 0.848861 16.9716
57 4.52 0.862971 17.8353
58 4.6 0.888065 18.7558
59 4.68 0.906638 19.7285
60 4.76 0.942793 20.7749
61 4.84 0.973403 21.8919
62 4.92 0.998292 23.0756
63 5 1.02122 24.3262
64 5.08 1.04879 25.652
65 5.16 1.05866 27.0328
66 5.24 1.08049 28.486
67 5.32 1.08875 29.9955
68 5.4 1.09438 31.5587
69 5.48 1.09255 33.1658
70 5.56 1.09156 34.8188
71 5.64 1.08788 36.5139
72 5.72 1.07941 38.2439
73 5.8 1.06919 40.0057
74 5.88 1.06166 41.8037
75 5.96 1.04971 43.6302
76 6.04 1.03743 45.4842
77 6.12 1.02336 47.3617
78 6.2 1.01957 49.2815
79 6.28 1.01202 51.2366
80 6.36 0.998947 53.2159
81 6.44 0.991857 55.2309
82 6.52 0.971082 57.2531
83 6.6 0.958454 59.2982
84 6.68 0.954163 61.3838
85 6.76 0.955597 63.5229
86 6.84 0.946142 65.6912
87 6.92 0.947398 67.9135
88 7 0.948473 70.1901
89 7.08 0.947704 72.5171
90 7.16 0.95053 74.904
91 7.24 0.956319 77.3595
92 7.32 0.965685 79.8941
93 7.4 0.973949 82.5066
94 7.48 0.979343 85.1907
95 7.56 0.989907 87.9621
96 7.64 1.00483 90.8351
97 7.72 1.01057 93.7853
98 7.8 1.01856 96.8209
99 7.88 1.02336 99.9336
100 7.96 1.0324 103.138
370700 100
1 0.04 0 0
2 0.12 0 0
3 0.2 0 0
4 0.28 0 0
5 0.36 0 0
6 0.44 0 0
7 0.52 0 0
8 0.6 0 0
9 0.68 0 0
10 0.76 0 0
11 0.84 0 0
12 0.92 0 0
13 1 0 0
14 1.08 0 0
15 1.16 0 0
16 1.24 0 0
17 1.32 0 0
18 1.4 0 0
19 1.48 0 0
20 1.56 0 0
21 1.64 0 0
22 1.72 0 0
23 1.8 0 0
24 1.88 0 0
25 1.96 0 0
26 2.04 0 0
27 2.12 0.00984048 0.00216667
28 2.2 0.0666208 0.017963
29 2.28 0.179103 0.0635741
30 2.36 0.402818 0.173481
31 2.44 0.77425 0.399296
32 2.52 1.38133 0.829019
33 2.6 1.94984 1.47472
34 2.68 2.11271 2.21807
35 2.76 2.13405 3.01443
36 2.84 2.03956 3.82028
37 2.92 1.8671 4.60013
38 3 1.67098 5.33683
39 3.08 1.50649 6.03691
40 3.16 1.36394 6.70409
41 3.24 1.24222 7.34289
42 3.32 1.12662 7.9512
43 3.4 1.03751 8.53872
44 3.48 0.976871 9.11824
45 3.56 0.933253 9.69763
46 3.64 0.893026 10.2772
47 3.72 0.842437 10.8483
48 3.8 0.821216 11.4292
49 3.88 0.79978 12.019
50 3.96 0.808631 12.6402
51 4.04 0.799971 13.2798
52 4.12 0.8015 13.9462
53 4.2 0.80439 14.6413
54 4.28 0.819653 15.3768
55 4.36 0.829804 16.1495
56 4.44 0.850683 16.971
57 4.52 0.874129 17.8458
58 4.6 0.889441 18.7677
59 4.68 0.910608 19.7447
60 4.76 0.938238 20.786
61 4.84 0.970692 21.8999
62 4.92 0.993825 23.0783
63 5 1.01768 24.3246
64 5.08 1.0408 25.6403
65 5.16 1.06407 27.0281
66 5.24 1.07861 28.4789
67 5.32 1.08835 29.9877
68 5.4 1.09395 31.5503
69 5.48 1.09375 33.1593
70 5.56 1.09655 34.8198
71 5.64 1.08977 36.5178
72 5.72 1.07896 38.2471
73 5.8 1.066 40.0036
74 5.88 1.06292 41.8038
75 5.96 1.05057 43.6318
76 6.04 1.04268 45.4951
77 6.12 1.0248 47.3753
78 6.2 1.01047 49.278
79 6.28 1.00647 51.2224
80 6.36 0.995508 53.1949
81 6.44 0.98956 55.2052
82 6.52 0.97391 57.2332
83 6.6 0.961604 59.2851
84 6.68 0.955714 61.3741
85 6.76 0.956606 63.5154
86 6.84 0.952631 65.6986
87 6.92 0.950035 67.9271
88 7 0.946575 70.1991
89 7.08 0.946543 72.5232
90 7.16 0.957248 74.9271
91 7.24 0.959672 77.3912
92 7.32 0.960774 79.9129
93 7.4 0.969351 82.5131
94 7.48 0.98391 85.2097
95 7.56 0.991389 87.9852
96 7.64 0.996442 90.8342
97 7.72 1.0082 93.7775
98 7.8 1.01651 96.8069
99 7.88 1.02432 99.9226
100 7.96 1.02947 103.118
370800 100
1 0.04 0 0
2 0.12 0 0
3 0.2 0 0
4 0.28 0 0
5 0.36 0 0
6 0.44 0 0
7 0.52 0 0
8 0.6 0 0
9 0.68 0 0
10 0.76 0 0
