# Step Temp Press PE KE TotEng Vol Density
110155 292.63232300318276202 108.86355573707058397 -301003.81924525671639 4085.1373966359469705 -296918.68184862076305 2045255.3085077048745 6.1136609735998854731
110156 292.6184899101962742 170.6412472684083923 -301003.85923968662973 4084.9442871226492571 -296918.91495256399503 2045255.3085077048745 6.1136609735998854731
110157 292.60694133138593998 135.52024085548933385 -301003.90137094527017 4084.7830693504911324 -296919.11830159480451 2045255.3085077048745 6.1136609735998854731
110158 292.59627449085303397 169.41056299428342413 -301003.94464547408279 4084.6341606150590451 -296919.31048485904466 2045255.3085077048745 6.1136609735998854731
110159 292.59133438911402436 201.07985533699047664 -301004.0208254812751 4084.5651969607706633 -296919.45562852051808 2045255.3085077048745 6.1136609735998854731
110160 292.58818031688593919 149.61398024109303151 -301004.15253347792896 4084.5211662184437955 -296919.63136725948425 2045255.3085077048745 6.1136609735998854731
110161 292.59176985364013035 140.13689018363422178 -301004.25550147134345 4084.5712760309234 -296919.68422544043278 2045255.3085077048745 6.1136609735998854731
110162 292.59958439895126503 163.0595055570946954 -301004.39894965547137 4084.680366820897234 -296919.71858283458278 2045255.3085077048745 6.1136609735998854731
110163 292.60036865118956939 100.28403986037747586 -301004.50960938743083 4084.6913149557926772 -296919.81829443166498 2045255.3085077048745 6.1136609735998854731
110164 292.60223842611952705 132.65813663096957953 -301004.63067108893301 4084.717416950990355 -296919.91325413796585 2045255.3085077048745 6.1136609735998854731
110165 292.60083002158529553 98.002528368356891519 -301004.70771426922875 4084.6977556710148747 -296920.00995859823888 2045255.3085077048745 6.1136609735998854731
110166 292.59471029204092929 124.61160579038822505 -301004.84565025835764 4084.612324452199573 -296920.23332580615534 2045255.3085077048745 6.1136609735998854731
110167 292.58650161177791915 197.98131722451179826 -301004.91211866785306 4084.4977315515407099 -296920.41438711632509 2045255.3085077048745 6.1136609735998854731
110168 292.57688999618636672 35.549725714506244856 -301005.01531573291868 4084.3635537208342612 -296920.65176201210124 2045255.3085077048745 6.1136609735998854731
110169 292.56941299286427238 105.76633420509965333 -301005.0895585360704 4084.259175005686302 -296920.83038353041047 2045255.3085077048745 6.1136609735998854731
110170 292.56550244989051635 120.69538136674150053 -301005.17807221179828 4084.2045839571674151 -296920.97348825464724 2045255.3085077048745 6.1136609735998854731
110171 292.56338437979962919 128.32666159217444601 -301005.22742171108257 4084.1750157698661496 -296921.05240594124189 2045255.3085077048745 6.1136609735998854731
110172 292.55224494920702227 113.82163436233255993 -301005.2879794894252 4084.0195096930797263 -296921.26846979634138 2045255.3085077048745 6.1136609735998854731
110173 292.53842477547590306 82.645769469358469905 -301005.32722613855731 4083.8265805321530024 -296921.50064560642932 2045255.3085077048745 6.1136609735998854731
110174 292.53017126438925288 118.29777637393051748 -301005.34041128563695 4083.7113617947024977 -296921.62904949096264 2045255.3085077048745 6.1136609735998854731
110175 292.52311255223344233 44.182248716052207271 -301005.34233662154293 4083.6128224101812521 -296921.72951421135804 2045255.3085077048745 6.1136609735998854731
110176 292.51583659105807556 135.25194189366345654 -301005.35794541519135 4083.5112502366464469 -296921.84669517853763 2045255.3085077048745 6.1136609735998854731
110177 292.5050823057283651 93.061071966406501588 -301005.4025110360235 4083.3611207747894696 -296922.04139026120538 2045255.3085077048745 6.1136609735998854731
110178 292.4944327317303987 54.594565571342506871 -301005.41341158672003 4083.2124530796049839 -296922.20095850713551 2045255.3085077048745 6.1136609735998854731
110179 292.48791490023290862 70.392038147525994418 -301005.41803855868056 4083.1214643708999574 -296922.29657418775605 2045255.3085077048745 6.1136609735998854731
110180 292.4859377205852411 120.76050536319493744 -301005.45371912734117 4083.0938630094519795 -296922.359856117866 2045255.3085077048745 6.1136609735998854731
110181 292.48268882433751514 111.67127304648199981 -301005.4638993171975 4083.0485085269974661 -296922.41539079020731 2045255.3085077048745 6.1136609735998854731
110182 292.47999464864523134 69.491154616546467082 -301005.51084750413429 4083.0108979248575451 -296922.49994957930176 2045255.3085077048745 6.1136609735998854731
110183 292.47408246371202267 98.078767694344591632 -301005.56450665689772 4082.9283640218404798 -296922.6361426350777 2045255.3085077048745 6.1136609735998854731
110184 292.4620123944836223 163.13872390257219536 -301005.64976878819289 4082.7598662609680105 -296922.88990252721123 2045255.3085077048745 6.1136609735998854731
110185 292.45394012622637092 134.23278073002140331 -301005.66205399448518 4082.6471776673261047 -296923.01487632718636 2045255.3085077048745 6.1136609735998854731
110186 292.45205478004839961 98.71067660923554854 -301005.70176761056064 4082.6208582980298161 -296923.08090931252809 2045255.3085077048745 6.1136609735998854731
110187 292.45404384537329179 163.95824187997882859 -301005.78735453356057 4082.6486255831323433 -296923.13872895040549 2045255.3085077048745 6.1136609735998854731
110188 292.45723182650129957 -0.88161348439788378428 -301005.91246391786262 4082.6931296925627066 -296923.21933422528673 2045255.3085077048745 6.1136609735998854731
110189 292.45907401175378482 -29.165248502842256784 -301006.00263296806952 4082.7188465367894423 -296923.28378643130418 2045255.3085077048745 6.1136609735998854731
110190 292.4520903186189571 70.519352900790181593 -301006.0678067173576 4082.6213544152806207 -296923.44645230210153 2045255.3085077048745 6.1136609735998854731
110191 292.44369095277284032 95.137197081731628145 -301006.15919508121442 4082.504099550288629 -296923.65509553090669 2045255.3085077048745 6.1136609735998854731
